week;rank;title;singer;writer;album;isMV
35;1;buon khong em;dat g;dat g;;false
35;2;duyen minh lo;huong tram;tu dua;duyen minh lo single;true
35;3;tan cung noi nho;will;andiez;tan cung noi nho single;true
35;4;gui anh va co ay;huong tram;nguyen hong thuan;gui anh va co ay single;false
35;5;dung quen ten anh;hoa vinh;dat g;;false
35;6;sai nguoi sai thoi diem;thanh hung;thanh hung;;false
35;7;dung nhu thoi quen;jaykii sara luu;duong khac linhhoang huy longjaykii;;false
35;8;yeu roi gao nep gao te ost;tino;tang nhat tue;;false
35;9;lo thuong mot nguoi;nguyen dinh vu;nguyen dinh vu;lo thuong mot nguoi single;true
35;10;suyt nua thi chuyen di cua thanh xuan ost;andiez;andiez;suyt nua thi chuyen di cua thanh xuan ost single;false
35;11;catena;toc tien touliver;bui cong nam;catena single;true
35;12;cham day noi dau;erik;mr siro;cham day noi dau single;true
35;13;sao em no;jaykii;duong khac linhtrang phap;;true
35;14;roi bo;hoa minzy;vu huy hoang;roi bo single;true
35;15;thay the;ho gia hung;dong thien duc;thay the single;false
35;16;vo thuong;karik orange;karik;;false
35;17;roi nguoi thuong cung hoa nguoi dung;hien ho;rin9;;false
35;18;u co anh day;tino;tang nhat tue;u co anh day single;false
35;19;sai;uni5;tung maru;sai single;true
35;20;tan cung noi nho new version;will han sara;andiez;;false
35;21;nguoi am phu;osad vrt;osadvrt;;false
35;22;ket thuc mot cuoc tinh;cao nam thanh;cao nam thanh;ket thuc mot cuoc tinh single;false
35;23;dep nhat la em;soobin hoang son jiyeon;krazy parkeddy s park;;false
35;24;cu lac;osad turn hirn;osad;;false
35;25;cuoc song em on khong;anh tu;vuong anh tu;;false
35;26;sofar;binz;binz;;false
35;27;co gai m52;huyr tung viu;huyrtung viu;;false
35;28;tam su tuoi 30 ong ngoai tuoi 30 ost;trinh thang binh;;;true
35;29;tap co don;le bao binh;le bao binh;;false
35;30;nguoi doi thay;cao nam thanh;cao nam thanh;;false
35;31;ai khoc noi dau nay;bao anh;duc tri;;false
35;32;hom nay toi buon;phung khanh linh;phung khanh linh;;false
35;33;yeu thuong ngay do yeu em bat chap ost;soobin hoang son;khoa nguyen;yeu thuong ngay do yeu em bat chap ost single;true
35;34;vi yeu la nho ong ngoai tuoi 30 ost;han sara;onlycquang hung;;false
35;35;ngam hoa le roi;chau khai phong;duy cuong;;false
35;36;yeu duong;osad turn hirn;osad;;false
35;37;dung ai nhac ve anh ay;tra my idol;mr siro;dung ai nhac ve anh ay single;true
35;38;vo cung vi anh thuong em;phan duy anh;vo hoai phuc;vo cung vi anh thuong em single;false
35;39;y em sao;kay tran lang ld;kay tranlang ld;;true
35;40;minh cuoi nhau di;huynh james pjnboys;huynh jamespjnboys;;false
36;1;buon khong em;dat g;dat g;;false
36;2;tan cung noi nho;will;andiez;tan cung noi nho single;true
36;3;duyen minh lo;huong tram;tu dua;duyen minh lo single;true
36;4;dung quen ten anh;hoa vinh;dat g;;false
36;5;gui anh va co ay;huong tram;nguyen hong thuan;gui anh va co ay single;false
36;6;sai nguoi sai thoi diem;thanh hung;thanh hung;;false
36;7;dung nhu thoi quen;jaykii sara luu;duong khac linhhoang huy longjaykii;;false
36;8;yeu roi gao nep gao te ost;tino;tang nhat tue;;false
36;9;suyt nua thi chuyen di cua thanh xuan ost;andiez;andiez;suyt nua thi chuyen di cua thanh xuan ost single;false
36;10;lo thuong mot nguoi;nguyen dinh vu;nguyen dinh vu;lo thuong mot nguoi single;true
